date,symbol,open,close,low,high,volume
27-07-2012,BEN,109.439999,112.209995,109.18,113.029999,5144400
27-07-2012,BHI,46.830002,47.349998,46.080002,47.740002,5978900
27-07-2012,BIIB,149,149.470001,148.199997,150.229996,1422300
27-07-2012,BK,21.190001,21.389999,20.98,21.540001,8025600
27-07-2012,BLK,166.360001,170.669998,165.690002,171.539993,631200
27-07-2012,BLL,41.220001,41.889999,40.889999,42.040001,1240800
27-07-2012,BMY,35.990002,36.049999,35.939999,36.18,15218900
27-07-2012,BSX,5.02,5.22,5,5.23,24394000
27-07-2012,BWA,63.84,67.32,63.740002,67.57,4860800
27-07-2012,BXP,110.580002,110.790001,110.110001,111.669998,809000
27-07-2012,C,26.6,27.299999,26.35,27.6,52233900
27-07-2012,CA,25,24.43,23.91,25.02,13684400
27-07-2012,CAG,24.169998,24.299999,24.089999,24.35,4402000
27-07-2012,CAH,42.080002,42.34,42.009998,42.529999,3399400
27-07-2012,CAT,83.18,86.160004,82.029999,86.599998,11229000
27-07-2012,CB,72.5,73.559998,72.25,74,2058000
27-07-2012,CBG,15.52,16.33,15.48,16.459999,4479100
27-07-2012,CBS,32.880001,33.57,32.810001,33.73,5451400
27-07-2012,CCI,60.849998,61.689999,60.849998,61.950001,1502600
27-07-2012,CCL,32.860001,33.799999,32.82,33.93,4558400
27-07-2012,CELG,67.989998,70.599998,67.690002,71.419998,9523600
27-07-2012,CERN,73.949997,73.709999,72.5,75.209999,10249200
27-07-2012,CF,196.730003,200.289993,194.979992,201.200008,6388500
27-07-2012,CHD,57.57,57.68,57.450001,58.23,1140400
27-07-2012,CHK,18.210001,18.46,17.960001,18.53,14275500
27-07-2012,CHRW,52.73,53.349998,52.73,53.66,1735200
27-07-2012,CHTR,75.959999,76.349998,75.800003,76.849998,516900
27-07-2012,CI,39.27,41.389999,39.009998,41.5,5118500
27-07-2012,CINF,38.130001,38.049999,37.779999,38.48,1367000
27-07-2012,CL,104.809998,107.169998,104.690002,107.68,6594800
27-07-2012,CLX,73.099998,73.120003,72.919998,73.550003,947000
27-07-2012,CMA,30.700001,30.82,30.32,31.02,1879200
27-07-2012,CMCSA,31.889999,32.290001,31.74,32.360001,15094000
27-07-2012,CME,52.849998,52.509998,52.16,52.849998,2261600
27-07-2012,CMG,290.75,296.079987,287.029999,297.119995,1311700
27-07-2012,CMI,89.730003,92.620003,89.650002,93.129997,2552500
27-07-2012,CMS,24.690001,24.799999,24.629999,24.9,2289700
27-07-2012,CNC,37.990002,39.799999,37.709999,40.049999,2501600
27-07-2012,CNP,21.02,21.190001,20.950001,21.23,4745300
27-07-2012,COF,56.810001,57.599998,56.200001,57.98,3368300
27-07-2012,COG,41.889999,42.029999,41.25,42.18,7024800
27-07-2012,COH,60.290001,62.099998,60.009998,62.419998,4753800
27-07-2012,COL,49.91,50.290001,49.669998,50.419998,1211700
27-07-2012,COO,75.589996,76,74.82,76.360001,373100
27-07-2012,COP,54.869999,54.970001,54.48,55.16,13707500
27-07-2012,COST,96.150002,97.110001,96.07,97.760002,1564700
27-07-2012,CPB,32.880001,33.119999,32.84,33.209999,1797500
27-07-2012,CRM,125.360001,131.490005,125.360001,133.389999,16979200
27-07-2012,CSCO,15.51,15.69,15.3,15.76,40305400
27-07-2012,CSX,22.42,22.85,22.360001,22.959999,6562000
27-07-2012,CTAS,38.669998,39.290001,38.669998,39.509998,762500
27-07-2012,CTL,41.080002,41.330002,40.93,41.57,5965400
27-07-2012,CTSH,57.619999,58.529999,57.18,58.970001,5567600
27-07-2012,CTXS,74.760002,77.809998,73.919998,78.339996,3362400
27-07-2012,CVS,44.830002,44.939999,44.560001,45.209999,9688500
27-07-2012,CVX,109.379997,109.260002,107.129997,109.5,8338800
27-07-2012,CXO,83.970001,86.400002,82.150002,87.07,1424000
27-07-2012,D,54.299999,54.970001,53.950001,55.169998,1950400
27-07-2012,DAL,9.47,9.42,9.28,9.55,14923500
27-07-2012,DD,49.22,49.709999,48.969998,49.949999,5685300
27-07-2012,DE,75.43,78.099998,75.230003,78.870003,5698000
27-07-2012,DFS,35.880001,36.41,35.5,36.610001,4804600
27-07-2012,DG,51.450001,50.990002,50.77,51.580002,3411400
27-07-2012,DGX,58.349998,58.779999,57.950001,58.889999,749800
27-07-2012,DHI,18.83,18.389999,17.610001,19.049999,13151700
27-07-2012,DHR,52.31,52.840002,52.159999,53.250001,4815000
27-07-2012,DIS,49.889999,49.939999,49.689999,50.540001,16174800
27-07-2012,DISCA,50.899999,52.020002,50.810001,52.179999,2692400
27-07-2012,DISCK,47.439999,48.360001,47.279999,48.689999,725800
27-07-2012,DLR,76.809998,78.059998,76.379997,78.330002,1801900
27-07-2012,DLTR,51.240002,51.959999,51.060001,52.389999,1674200
27-07-2012,DNB,71.279999,72.25,71.230003,72.519997,219000
27-07-2012,DOV,52.500004,54.16,52.41,54.52,2083900
27-07-2012,DOW,28.98,29.08,28.76,29.42,21602200
27-07-2012,DPS,44.950001,45.59,44.709999,45.720001,2282200
27-07-2012,DRI,51.099998,51.990002,51.099998,52.299999,2067800
27-07-2012,DTE,61.349998,61.150002,60.880001,62.080002,1170600
27-07-2012,DUK,67.540001,67.459999,67.32,67.940002,4687500
27-07-2012,DVA,98.160004,98.610001,97.669998,99.019997,1548800
